,SP500 naive,SP500 hmm SP500 1,SP500 hmm SP500 0,SP500 hmm WTI 1,SP500 hmm WTI 0,WTI naive,WTI hmm SP500 1,WTI hmm SP500 0,WTI hmm WTI 1,WTI hmm WTI 0
EI_best_sharpe,0.212,0.189,-0.164,-0.035,0.037,0.602,0.456,0.199,0.771,0.235
EI_best_params,"[0.212, 0.99]","[0.267, 0.99]","[0.777, 0.784]","[0.297, 0.11]","[0.23, 0.921]","[0.98, 0.131]","[0.737, 0.581]","[0.98, 0.306]","[0.886, 0.155]","[0.748, 0.451]"
qEI_best_sharpe,0.231,0.151,-0.164,-0.082,0.008,0.661,0.414,0.199,0.723,0.201
qEI_best_params,"[0.215, 0.99]","[0.243, 0.99]","[0.753, 0.807]","[0.367, 0.546]","[0.555, 0.99]","[0.95, 0.151]","[0.98, 0.299]","[0.98, 0.306]","[0.98, 0.146]","[0.653, 0.418]"
UCB_best_sharpe,0.231,0.142,-0.167,-0.016,0.056,0.53,0.538,0.199,0.381,0.211
UCB_best_params,"[0.218, 0.968]","[0.422, 0.701]","[0.1, 0.79]","[0.238, 0.813]","[0.208, 0.99]","[0.98, 0.382]","[0.94, 0.148]","[0.98, 0.314]","[0.312, 0.292]","[0.714, 0.462]"
qKG_best_sharpe,0.222,0.154,-0.167,-0.061,0.024,0.608,0.445,0.182,0.743,0.209
qKG_best_params,"[0.217, 0.984]","[0.275, 0.99]","[0.1, 0.878]","[0.34, 0.574]","[0.22, 0.99]","[0.869, 0.148]","[0.333, 0.11]","[0.975, 0.11]","[0.98, 0.141]","[0.784, 0.442]"
Best_sharpe,0.231,0.189,-0.164,-0.016,0.056,0.661,0.538,0.199,0.771,0.235
Best_params,"[0.215, 0.99]","[0.267, 0.99]","[0.777, 0.784]","[0.238, 0.813]","[0.208, 0.99]","[0.95, 0.151]","[0.94, 0.148]","[0.98, 0.306]","[0.886, 0.155]","[0.748, 0.451]"
